mobile_wt,ram_gb,fc,pc,num_rear_cameras,battery_power,screen_size,launched_year,price_range,brand_Apple,brand_Google,brand_Honor,brand_Huawei,brand_Infinix,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_POCO,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
208.0,4.0,7.0,12.0,2,3174.0,6.5,2018,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.0,4.0,7.0,12.0,2,3174.0,6.5,2018,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194.0,3.0,7.0,12.0,2,2942.0,6.1,2018,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194.0,3.0,7.0,12.0,2,2942.0,6.1,2018,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194.0,3.0,7.0,12.0,2,2942.0,6.1,2018,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.0,12.0,12.0,200.0,2,5000.0,6.8,2024,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
234.0,12.0,12.0,200.0,2,5000.0,6.8,2024,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196.0,8.0,12.0,50.0,2,4800.0,6.6,2024,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196.0,8.0,12.0,50.0,2,4800.0,6.6,2024,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168.0,8.0,12.0,50.0,2,4000.0,6.1,2024,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168.0,8.0,12.0,50.0,2,4000.0,6.1,2024,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228.0,12.0,12.0,200.0,2,5000.0,6.8,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228.0,12.0,12.0,200.0,2,5000.0,6.8,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196.0,8.0,12.0,50.0,2,4700.0,6.6,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196.0,8.0,12.0,50.0,2,4700.0,6.6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168.0,8.0,12.0,50.0,2,3900.0,6.1,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168.0,8.0,12.0,50.0,2,3900.0,6.1,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228.0,12.0,10.0,108.0,2,5000.0,6.8,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228.0,12.0,10.0,108.0,2,5000.0,6.8,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195.0,8.0,10.0,50.0,2,4500.0,6.6,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195.0,8.0,10.0,50.0,2,4500.0,6.6,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167.0,8.0,10.0,50.0,2,3800.0,6.1,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167.0,8.0,10.0,50.0,2,3800.0,6.1,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
254.0,12.0,10.0,50.0,2,4400.0,7.6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
254.0,12.0,10.0,50.0,2,4400.0,7.6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187.0,8.0,12.0,12.0,2,3700.0,6.7,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187.0,8.0,12.0,12.0,2,3700.0,6.7,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
263.0,12.0,10.0,50.0,2,4400.0,7.6,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
263.0,12.0,10.0,50.0,2,4400.0,7.6,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187.0,8.0,10.0,12.0,2,3700.0,6.7,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187.0,8.0,10.0,12.0,2,3700.0,6.7,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189.0,6.0,32.0,50.0,2,5000.0,6.4,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189.0,6.0,32.0,50.0,2,5000.0,6.4,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.0,6.0,13.0,48.0,2,5000.0,6.6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.0,6.0,13.0,48.0,2,5000.0,6.6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195.0,6.0,13.0,50.0,2,5000.0,6.5,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195.0,6.0,13.0,50.0,2,5000.0,6.5,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190.0,4.0,13.0,50.0,2,5000.0,6.6,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
