weight_g,screen_inches,announced_year,main_camera_mp,ram_gb,storage_gb,battery_mah,has_nfc,has_5g,wlan_dual_band,has_gps,card_slot,brand_price_tier,price_range
162.0,6.26,2019.0,5.0,4.0,64.0,3000.0,0,0,0,1,1,259.81928584710744,0
150.0,5.71,2019.0,5.0,3.0,32.0,2800.0,0,0,0,1,1,263.05928584710745,0
210.0,5.0,2018.0,8.0,2.0,16.0,4000.0,0,0,0,1,1,247.39928584710748,1
170.0,5.73,2017.0,5.0,8.0,128.0,3100.0,1,0,1,1,0,252.6950311713978,3
155.0,5.2,2017.0,13.0,6.0,128.0,3000.0,0,0,1,1,1,247.39928584710748,3
155.0,5.2,2017.0,13.0,4.0,64.0,2950.0,0,0,1,1,1,247.34661668116573,3
130.0,5.2,2017.0,8.0,2.0,16.0,3000.0,0,0,0,1,1,252.6950311713978,2
223.0,5.0,2017.0,8.0,3.0,32.0,3500.0,0,0,0,1,1,263.05928584710745,1
160.0,5.0,2017.0,5.0,1.0,16.0,2400.0,0,0,0,1,1,252.6950311713978,0
193.0,5.5,2016.0,20.7,4.0,64.0,2950.0,0,0,1,1,1,247.39928584710748,2
154.0,5.0,2015.0,13.0,1.0,8.0,2100.0,0,0,0,1,1,252.6950311713978,1
160.0,5.0,2014.0,8.0,1.0,8.0,2000.0,1,0,0,1,1,252.6950311713978,1
142.0,5.0,2014.0,16.0,2.0,16.0,2700.0,1,0,0,1,1,259.81928584710744,1
232.0,6.4,2014.0,8.0,1.0,4.0,2800.0,0,0,0,1,1,263.05928584710745,2
140.0,5.0,2014.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,259.81928584710744,2
160.0,5.0,2014.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,252.6950311713978,2
140.0,4.5,2014.0,5.0,1.0,4.0,1850.0,0,0,0,1,1,247.34661668116573,2
191.0,6.0,2014.0,13.0,1.0,4.0,2600.0,1,0,0,1,1,254.33736284170377,2
146.0,5.0,2014.0,13.0,2.0,32.0,2300.0,1,0,0,1,1,244.65612263872495,2
140.0,4.3,2013.0,8.0,1.0,4.0,2000.0,0,0,0,1,1,248.50571446280995,2
140.0,5.3,2013.0,8.0,1.0,4.0,2100.0,0,0,0,1,1,248.50571446280995,1
130.0,5.0,2013.0,8.0,1.0,4.0,2000.0,0,0,0,1,1,250.82755121015353,1
158.0,4.5,2013.0,8.0,1.0,4.0,1850.0,0,0,0,1,1,254.33736284170377,0
305.0,7.0,2013.0,2.0,1.0,8.0,4000.0,0,0,0,0,1,248.50571446280995,0
305.0,7.0,2013.0,2.0,1.0,16.0,3200.0,0,0,0,0,1,257.7704083530107,0
186.0,6.5,2021.0,8.0,6.0,128.0,5000.0,0,1,1,1,1,342.06834901121607,1
175.0,6.5,2021.0,8.0,8.0,256.0,5000.0,1,1,1,1,0,332.60824688730986,2
177.0,6.52,2020.0,8.0,4.0,64.0,4230.0,0,0,0,1,1,342.06834901121607,0
171.0,6.43,2020.0,44.0,8.0,128.0,4310.0,0,0,1,1,1,324.5961214568314,3
184.0,6.55,2020.0,32.0,12.0,256.0,4500.0,1,1,1,1,0,324.5961214568314,3
175.0,6.5,2020.0,8.0,6.0,128.0,4040.0,0,1,1,1,0,321.4494768549128,1
173.0,6.55,2020.0,32.0,12.0,256.0,4350.0,1,1,1,1,0,331.26182520169226,3
172.0,6.43,2020.0,32.0,12.0,256.0,4300.0,0,1,1,1,0,337.48014438304824,3
177.0,6.5,2020.0,8.0,8.0,128.0,4040.0,0,1,1,1,1,321.4494768549128,3
175.0,6.52,2020.0,5.0,3.0,32.0,4230.0,0,0,0,1,1,331.26182520169226,0
186.0,6.5,2020.0,8.0,4.0,128.0,5000.0,1,0,1,1,1,321.4494768549128,2
186.0,6.5,2020.0,8.0,4.0,32.0,5000.0,0,0,1,1,1,321.4494768549128,0
169.0,6.43,2020.0,32.0,8.0,256.0,4300.0,0,1,1,1,0,337.48014438304824,3
163.0,6.44,2020.0,16.0,8.0,128.0,4015.0,0,0,1,1,1,331.26182520169226,1
186.0,6.5,2020.0,8.0,8.0,128.0,5000.0,0,0,1,1,1,337.48014438304824,1
186.0,6.5,2020.0,16.0,6.0,128.0,5000.0,0,0,1,1,1,337.48014438304824,3
194.0,6.5,2020.0,16.0,6.0,128.0,5000.0,0,1,1,1,0,332.60824688730986,1
161.0,6.5,2020.0,32.0,8.0,256.0,4000.0,1,0,1,1,1,324.5961214568314,3
165.0,6.4,2020.0,32.0,8.0,128.0,4015.0,0,0,1,1,1,332.60824688730986,3
175.0,6.5,2020.0,8.0,8.0,128.0,4040.0,1,1,1,1,0,331.26182520169226,2
165.0,6.2,2020.0,5.0,3.0,32.0,4230.0,0,0,1,1,1,321.4494768549128,0
172.0,6.55,2020.0,32.0,12.0,256.0,4000.0,1,1,1,1,0,332.60824688730986,3
192.0,6.5,2020.0,16.0,8.0,128.0,5000.0,0,0,1,1,1,337.48014438304824,2
171.0,6.5,2020.0,32.0,12.0,256.0,4025.0,1,1,1,1,0,321.4494768549128,3
192.0,6.5,2020.0,16.0,8.0,128.0,5000.0,1,0,1,1,1,332.60824688730986,2
192.0,6.5,2020.0,16.0,8.0,128.0,5000.0,0,0,1,1,1,342.06834901121607,1
165.0,6.22,2020.0,5.0,2.0,32.0,4230.0,0,0,1,1,1,342.06834901121607,0
165.0,6.22,2020.0,5.0,4.0,64.0,4230.0,0,0,1,1,1,342.06834901121607,1
180.0,6.4,2020.0,32.0,8.0,256.0,4025.0,1,1,1,1,0,332.60824688730986,2
180.0,6.4,2020.0,32.0,8.0,128.0,4025.0,1,1,1,1,0,331.26182520169226,3
186.0,6.55,2020.0,16.0,12.0,256.0,4000.0,1,1,1,1,0,321.4494768549128,3
168.0,6.2,2020.0,8.0,3.0,64.0,4230.0,0,0,0,1,1,332.60824688730986,0
170.0,6.4,2020.0,44.0,8.0,128.0,4025.0,1,0,1,1,1,324.5961214568314,3
217.0,6.7,2020.0,32.0,12.0,512.0,4260.0,1,1,1,1,0,331.26182520169226,3
209.0,6.7,2020.0,32.0,12.0,256.0,4200.0,1,1,1,1,0,324.5961214568314,3
180.0,6.5,2020.0,8.0,6.0,128.0,4230.0,0,0,1,1,1,331.26182520169226,3
172.0,6.4,2020.0,16.0,8.0,128.0,4025.0,0,0,1,1,1,321.4494768549128,3
171.0,6.5,2019.0,32.0,12.0,256.0,4025.0,1,1,1,1,0,342.06834901121607,3
180.0,6.4,2020.0,32.0,8.0,128.0,4025.0,1,1,1,1,0,332.60824688730986,3
181.0,6.4,2019.0,32.0,12.0,128.0,4025.0,1,1,1,1,0,321.4494768549128,3
172.0,6.4,2019.0,16.0,8.0,128.0,4025.0,0,0,1,1,1,342.06834901121607,3
180.0,6.5,2019.0,8.0,4.0,128.0,4230.0,0,0,1,1,1,337.48014438304824,1
195.0,6.5,2019.0,8.0,6.0,256.0,5000.0,0,0,1,1,1,321.4494768549128,1
182.0,6.4,2019.0,32.0,8.0,256.0,4000.0,1,0,1,1,1,337.48014438304824,2
200.0,6.5,2019.0,16.0,12.0,256.0,4000.0,1,0,1,1,0,332.60824688730986,3
169.5,6.4,2019.0,25.0,6.0,128.0,3600.0,1,0,1,1,1,332.60824688730986,2
195.0,6.5,2019.0,8.0,4.0,128.0,5000.0,1,0,1,1,1,332.60824688730986,1
195.0,6.5,2019.0,16.0,8.0,128.0,5000.0,0,0,1,1,1,337.48014438304824,2
189.0,6.5,2019.0,16.0,8.0,256.0,4000.0,1,0,1,1,1,321.4494768549128,3
195.0,6.5,2019.0,16.0,8.0,256.0,4000.0,0,0,1,1,1,324.5961214568314,3
195.0,6.53,2019.0,16.0,8.0,256.0,4000.0,0,0,1,1,1,332.60824688730986,3
186.0,6.4,2019.0,32.0,8.0,256.0,4035.0,1,0,1,1,0,324.5961214568314,3
191.0,6.5,2019.0,16.0,8.0,256.0,3765.0,0,0,1,1,0,332.60824688730986,2
190.0,6.53,2019.0,16.0,6.0,128.0,4020.0,1,0,1,1,1,321.4494768549128,2
190.0,6.53,2019.0,16.0,8.0,128.0,4020.0,1,0,1,1,1,332.60824688730986,2
215.0,6.6,2019.0,16.0,8.0,256.0,4065.0,1,1,1,1,1,321.4494768549128,3
210.0,6.6,2019.0,16.0,12.0,256.0,4065.0,1,0,1,1,1,331.26182520169226,3
185.0,6.4,2019.0,16.0,8.0,256.0,3765.0,1,0,1,1,0,337.48014438304824,3
170.0,6.1,2019.0,8.0,2.0,32.0,4000.0,0,0,0,1,1,337.48014438304824,0
170.0,6.2,2019.0,16.0,4.0,64.0,4230.0,1,0,0,1,1,332.60824688730986,1
170.0,6.2,2019.0,8.0,4.0,64.0,4230.0,0,0,0,1,1,321.4494768549128,0
188.0,6.53,2019.0,16.0,6.0,128.0,4020.0,0,0,1,1,1,331.26182520169226,1
190.0,6.53,2019.0,16.0,6.0,128.0,4000.0,0,0,1,1,1,324.5961214568314,2
168.0,6.2,2018.0,16.0,4.0,64.0,4230.0,0,0,0,1,1,337.48014438304824,2
156.0,6.4,2018.0,25.0,6.0,128.0,3600.0,0,0,1,1,0,321.4494768549128,3
156.0,6.41,2018.0,25.0,4.0,128.0,3600.0,0,0,0,1,1,331.26182520169226,3
156.0,6.4,2018.0,25.0,6.0,64.0,3600.0,0,0,1,1,1,331.26182520169226,2
169.0,6.3,2018.0,16.0,4.0,128.0,3500.0,0,0,1,1,1,332.60824688730986,2
183.0,6.4,2018.0,25.0,8.0,128.0,3700.0,1,0,1,1,1,332.60824688730986,3
182.0,6.4,2018.0,25.0,8.0,128.0,3500.0,0,0,1,1,0,332.60824688730986,3
169.0,6.3,2018.0,25.0,6.0,64.0,3500.0,0,0,1,1,1,342.06834901121607,3
168.0,6.2,2018.0,8.0,4.0,64.0,4230.0,0,0,0,1,1,332.60824688730986,2
168.0,6.2,2018.0,8.0,4.0,64.0,4230.0,0,0,0,1,1,332.60824688730986,2
155.0,6.0,2018.0,13.0,4.0,64.0,3410.0,0,0,0,1,1,332.60824688730986,2
159.0,6.2,2018.0,16.0,4.0,128.0,3400.0,0,0,1,1,1,337.48014438304824,3
158.0,6.23,2018.0,16.0,6.0,128.0,3400.0,0,0,1,1,1,342.06834901121607,2
180.0,6.28,2018.0,20.0,6.0,128.0,3430.0,1,0,1,1,1,342.06834901121607,3
175.0,6.28,2018.0,20.0,8.0,128.0,3450.0,0,0,1,1,1,331.26182520169226,3
143.0,5.7,2018.0,13.0,4.0,64.0,3180.0,0,0,0,1,1,342.06834901121607,1
137.0,5.2,2018.0,13.0,3.0,16.0,3000.0,0,0,0,1,1,331.26182520169226,0
143.0,5.7,2018.0,13.0,4.0,64.0,3180.0,0,0,1,1,1,332.60824688730986,1
152.0,6.0,2017.0,13.0,4.0,32.0,3200.0,0,0,0,1,1,337.48014438304824,2
182.0,6.43,2017.0,20.0,6.0,64.0,4000.0,0,0,1,1,1,332.60824688730986,3
152.0,6.0,2017.0,16.0,6.0,64.0,3200.0,0,0,0,1,1,331.26182520169226,3
153.0,6.01,2017.0,20.0,4.0,64.0,3200.0,0,0,1,1,1,324.5961214568314,3
137.0,5.2,2017.0,13.0,3.0,16.0,3000.0,0,0,0,1,1,331.26182520169226,1
148.0,5.5,2017.0,13.0,4.0,64.0,3200.0,0,0,0,1,1,337.48014438304824,2
188.0,6.0,2017.0,20.0,6.0,64.0,4000.0,0,0,1,1,1,332.60824688730986,3
150.0,5.5,2017.0,20.0,6.0,128.0,3000.0,0,0,1,1,1,337.48014438304824,3
153.0,5.5,2017.0,13.0,4.0,64.0,3200.0,0,0,0,1,1,332.60824688730986,3
147.0,5.2,2017.0,13.0,3.0,32.0,2900.0,0,0,1,1,1,342.06834901121607,1
153.0,5.5,2017.0,13.0,4.0,64.0,3200.0,0,0,0,1,1,342.06834901121607,2
185.0,6.0,2017.0,16.0,6.0,64.0,4000.0,0,0,1,1,1,324.5961214568314,3
147.0,5.2,2016.0,13.0,3.0,32.0,2900.0,0,0,0,1,1,332.60824688730986,1
160.0,5.5,2016.0,13.0,4.0,64.0,3075.0,0,0,1,1,1,332.60824688730986,1
185.0,6.0,2016.0,16.0,6.0,64.0,4000.0,1,0,1,1,1,337.48014438304824,3
145.0,5.5,2016.0,16.0,4.0,64.0,3010.0,0,0,1,1,1,331.26182520169226,3
136.0,5.0,2016.0,8.0,2.0,16.0,2630.0,0,0,0,1,1,331.26182520169226,2
160.0,5.5,2016.0,13.0,3.0,32.0,3075.0,0,0,0,1,1,332.60824688730986,2
185.0,6.0,2016.0,16.0,4.0,128.0,4120.0,0,0,1,1,1,342.06834901121607,3
145.0,5.5,2016.0,13.0,4.0,64.0,2850.0,0,0,0,1,1,337.48014438304824,3
134.0,5.0,2016.0,13.0,3.0,16.0,2500.0,0,0,0,1,1,324.5961214568314,2
165.0,5.5,2015.0,13.0,2.0,16.0,3075.0,1,0,0,1,1,332.60824688730986,1
146.0,5.0,2015.0,8.0,2.0,16.0,2400.0,0,0,0,1,1,331.26182520169226,2
141.0,5.0,2015.0,8.0,1.0,16.0,2420.0,0,0,0,1,1,324.5961214568314,1
155.0,5.5,2015.0,13.0,4.0,32.0,3070.0,0,0,0,1,1,331.26182520169226,2
147.0,5.0,2015.0,13.0,2.0,16.0,2320.0,0,0,0,1,1,342.06834901121607,2
155.0,5.2,2015.0,13.0,3.0,32.0,2000.0,0,0,1,1,0,337.48014438304824,1
160.0,5.0,2015.0,8.0,2.0,16.0,2420.0,0,0,0,1,1,321.4494768549128,2
135.0,4.5,2015.0,5.0,1.0,4.0,2000.0,0,0,0,1,1,331.26182520169226,0
192.0,6.0,2015.0,13.0,4.0,64.0,4100.0,0,0,1,1,1,332.60824688730986,3
147.0,5.0,2015.0,13.0,3.0,16.0,2320.0,0,0,0,1,1,332.60824688730986,3
135.0,4.5,2015.0,8.0,1.0,16.0,2000.0,0,0,0,1,1,324.5961214568314,0
135.0,4.5,2015.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,332.60824688730986,1
125.0,4.0,2015.0,3.15,1.0,4.0,1700.0,0,0,0,1,1,342.06834901121607,0
130.0,4.7,2015.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,342.06834901121607,2
135.0,4.5,2015.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,331.26182520169226,1
130.0,5.0,2015.0,13.0,2.0,16.0,2420.0,0,0,0,1,1,337.48014438304824,3
